答案	題號	題目	year	qtype	uid	Status	Content type	Error Cause	gpt_response	answerletter	reasoning	confidence_answer_likert	classification	confidence_classification_likert	polarity	confidence_polarity_likert	vignette	confidence_vignette_likert	isCorrect	answerletter___img	reasoning___img	picture_decription	picture_helpful	why_picture_helpful	image_type_correct	image_content_correct	image_content_helpful	answerletter_without_picture	confidence_answer_without_picture_likert	isCorrect_image	isCorrect_image_noimg	uid___img	isHigher	isNegative	isClinical	isImage	isImageHelpful	mergedCorrect	mergedConfidence	ECG	Clinical	US	CXR	Plainfilm	CT	OtherImg	CntImg
B	1	"一名 6 歲的女孩因皮膚出現發癢的斑丘疹和發燒全身倦怠而至急診就醫，檢查發現扁桃腺出現白色分泌物、頸部淋巴腺腫大、肝脾腫大。請問以下何者是最可能的致病病原體？
（Ａ）A 型鏈球菌（Group A Streptococcus）。
（Ｂ）EB 病毒（Epstein-Barr virus）。
（Ｃ）克沙奇病毒（Coxsackie virus）。
（Ｄ）金黃色葡萄球菌（Staphylococcus aureus）。
（Ｅ）流感病毒（Influenza virus）。"	107	text	107_001	200	application/json		"{
""answerletter"": ""B"",
""reasoning"": ""The symptoms described in the question, including fever, fatigue, white secretions in the tonsils, enlarged lymph nodes in the neck, and enlarged liver and spleen, are indicative of infectious mononucleosis, which is most commonly caused by the Epstein-Barr virus (EBV)."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Positive"",
""confidence_polarity_likert"": 5,
""vignette"": ""With Vignette"",
""confidence_vignette_likert"": 5
}"	B	"The symptoms described in the question, including fever, fatigue, white secretions in the tonsils, enlarged lymph nodes in the neck, and enlarged liver and spleen, are indicative of infectious mononucleosis, which is most commonly caused by the Epstein-Barr virus (EBV)."	5	Higher	5	Positive	5	With Vignette	5	1														1	0	1	0	9	1	5	0	0	0	0	0	0	0	0
A	2	"關於惡性外耳炎（malignant external otitis），會造成顱底骨髓炎（skull base osteomyelitis）而危及生命，下列敘述何者較適當？
（Ａ）大部份個案使用抗生素治療即可。
（Ｂ）可由頭顱側面 X 光決定臨床分期。
（Ｃ）必須有上升的發炎指數如C 反應蛋白（C-reactive protein）才可確診。
（Ｄ）最常引發的致病菌是肺炎鏈球菌。
（Ｅ）最常造成第五對腦神經病變。"	107	text	107_002	200	application/json		"  ""vignette"": ""Without Vignette"","	E	"Malignant external otitis, also known as necrotizing otitis externa, is a potentially life-threatening infection that primarily affects diabetic and immunocompromised patients. It is most commonly caused by Pseudomonas aeruginosa, not Streptococcus pneumoniae (option D). The infection can spread to involve the base of the skull and cranial nerves, most commonly the facial nerve (cranial nerve VII), but it can also affect the trigeminal nerve (cranial nerve V), which is option E. Antibiotic therapy is indeed the mainstay of treatment (option A), but it often needs to be prolonged and aggressive, and not all cases can be managed with antibiotics alone. The diagnosis is primarily clinical, supported by imaging studies such as CT or MRI, and not by lateral skull X-ray (option B) or by the presence of elevated inflammatory markers such as C-reactive protein (option C)."	5	Higher	5	Positive	5	With Vignette	5	0														1	0	1	0	9	0	5	0	0	0	0	0	0	0	0
A	3	"關於急性會厭炎（Acute epiglottitis），下列敘述何者較不適當？
（Ａ）不可給予注射類固醇（steroids）以免加重感染。
（Ｂ）抗生素可選擇 cefotaxime 加上vancomycin。
（Ｃ）常見致病菌包含鏈球菌（Streptococcus）及葡萄球菌
（Staphylococcus），但也可能培養為陰性。
（Ｄ）典型臨床症狀有所謂的三個D，即 Drooling、Dysphagia、Distress。
（Ｅ）確定診斷不需要電腦斷層影像檢查。"	107	text	107_003	200	application/json		"{
""answerletter"": ""A"",
""reasoning"": ""Steroids are often used in the treatment of acute epiglottitis to reduce inflammation and swelling. Therefore, the statement that steroids should not be given to avoid worsening the infection is inappropriate."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Negative"",
""confidence_polarity_likert"": 5,
""vignette"": ""Without Vignette"",
""confidence_vignette_likert"": 5
}"	A	"Steroids are often used in the treatment of acute epiglottitis to reduce inflammation and swelling. Therefore, the statement that steroids should not be given to avoid worsening the infection is inappropriate."	5	Higher	5	Negative	5	Without Vignette	5	1														1	1	0	0	9	1	5	0	0	0	0	0	0	0	0
E	4	"22 歲女性病人因配載隱形眼鏡入睡後雙眼紅腫疼痛至急診就醫、檢查發現角膜潰瘍，請問最有可能引發感染的病原體為何？
（Ａ）水痘帶狀?疹病毒（Varicella zoster virus）。
（Ｂ）金黃色葡萄球菌（Staphylococcus aureus）。
（Ｃ）肺炎鏈球菌（Streptococcus pneumoniae）。
（Ｄ）單純?疹病毒（Herpes simplex virus）。
（Ｅ）綠膿桿菌（Pseudomonas aeruginosa）。"	107	text	107_004	200	application/json		  "confidence_vignette_likert": 5	E	"Pseudomonas aeruginosa is a common cause of corneal ulcers, especially in contact lens wearers. This bacterium can adhere to the lenses and then transfer to the cornea, causing infection and ulceration. The other options listed are less likely to cause corneal ulcers in the context of contact lens use."	5	Higher	5	Positive	5	With Vignette	5	1														1	0	1	0	9	1	5	0	0	0	0	0	0	0	0
A	5	"關於使用抗血栓藥物（antithrombotics）治療靜脈栓塞合併肺栓塞的描述，下列何者較不適當？
（Ａ）口服 NOAC（novel oral anticoagulant）如 rivaroxaban 可用於治療洗腎患者的靜脈栓塞，較傳統治療方便且安全。
（Ｂ）血小板數目低於 100,000/mm3 是使用fibrinolytic therapy 的絕對禁忌症。
（Ｃ）抗凝血藥物（anticoagulant）比抗血小板藥物（antiplatelet）更能有效預防靜脈栓塞（venous thromboembolism）。
（Ｄ）若患者血壓下降至 75/55 mmHg，可考慮使用 fibrinolytic therapy。
（Ｅ）Warfarin 治療初期 24-36 小時可能增加血栓產生（thrombogenesis）
，合併靜脈注射 heparin 治療 3-5 天可減輕此現象。"	107	text	107_005	200	application/json		"{
""answerletter"": ""A"",
""reasoning"": ""NOACs like rivaroxaban are not recommended for patients with severe renal impairment, including those undergoing dialysis. The safety and efficacy of these drugs in such patients have not been established, and there is a risk of drug accumulation and bleeding complications."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Negative"",
""confidence_polarity_likert"": 5,
""vignette"": ""Without Vignette"",
""confidence_vignette_likert"": 5
}"	A	"NOACs like rivaroxaban are not recommended for patients with severe renal impairment, including those undergoing dialysis. The safety and efficacy of these drugs in such patients have not been established, and there is a risk of drug accumulation and bleeding complications."	5	Higher	5	Negative	5	Without Vignette	5	1														1	1	0	0	9	1	5	0	0	0	0	0	0	0	0
B	6	"關於大量輸血（massive transfusion）的敘述，下列何者較不適當？
（Ａ）24 小時內給予至少 10 單位PRBCs（packed red blood cells）可稱為大量輸血。
（Ｂ）大量輸血患者，輸注FFP（fresh frozen plasma）：platelets：PRBCs
常用建議比例為 2：1：1。
（Ｃ）大量輸血時，若血小板小於 50,000/mm3，建議輸注血小板。
（Ｄ）大量輸血時，若監測INR 大於 1.5，建議輸注 FFP（fresh frozen plasma）。
（Ｅ）大量輸血時，若fibrinogen level  小於 1g/L 或 100 mg/dL，可給予 cryoprecipitate 或 fibrinogen concentrate。"	107	text	107_006	200	application/json		"{
""answerletter"": ""A"",
""reasoning"": ""The statement A is not appropriate because the definition of massive transfusion is the replacement of a patient's total blood volume in less than 24 hours, or as the acute administration of more than half the patient's estimated blood volume per hour. It is not defined by the number of PRBCs units given."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Negative"",
""confidence_polarity_likert"": 5,
""vignette"": ""Without Vignette"",
""confidence_vignette_likert"": 5
}"	A	"The statement A is not appropriate because the definition of massive transfusion is the replacement of a patient's total blood volume in less than 24 hours, or as the acute administration of more than half the patient's estimated blood volume per hour. It is not defined by the number of PRBCs units given."	5	Higher	5	Negative	5	Without Vignette	5	0														1	1	0	0	9	0	5	0	0	0	0	0	0	0	0
A	7	"有關紅斑性狼瘡（systemic lupus erythematosus, SLE）之敘述，下列何者較適當？
（Ａ）出現心包膜積液（pericardial effusion）時，高劑量glucocorticoid 可減少心包穿刺術（pericardiocentesis）之需要。
（Ｂ）併發心包膜炎（pericarditis）時，應避免使用 NSAIDs  （non- steroidal anti-inflammatory drugs）治療。
（Ｃ）長期使用 glucocorticoid 的 SLE 患者發生肺炎時，治療以第二代頭孢菌素（cephalosporins）為首選。
（Ｄ）SLE 患者得到冠狀動脈疾病（coronary artery disease）的風險並無明顯提高。
（Ｅ）Erythrocyte sedimentation rate（ESR）可用來鑑別診斷狼瘡性腸炎
（lupus enteritis）和其他原因腹痛。"	107	text	107_007	200	application/json		"{
""answerletter"": ""A"",
""reasoning"": ""Pericardial effusion in systemic lupus erythematosus (SLE) can be managed with high-dose glucocorticoids, which can reduce the need for pericardiocentesis. This is because glucocorticoids can reduce inflammation and thus the accumulation of fluid in the pericardial space."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Positive"",
""confidence_polarity_likert"": 5,
""vignette"": ""Without Vignette"",
""confidence_vignette_likert"": 5
}"	A	"Pericardial effusion in systemic lupus erythematosus (SLE) can be managed with high-dose glucocorticoids, which can reduce the need for pericardiocentesis. This is because glucocorticoids can reduce inflammation and thus the accumulation of fluid in the pericardial space."	5	Higher	5	Positive	5	Without Vignette	5	1														1	0	0	0	9	1	5	0	0	0	0	0	0	0	0
B	8	"有關 Toxic epidermal necrolysis 之敘述，下列何者較不適當？
（Ａ）Toxic epidermal necrolysis 死亡率可能高達 30%。
（Ｂ）Toxic epidermal necrolysis 影響大於百分之三十體表面積（BSA）時，稱為Stevens-Johnson syndrome。
（Ｃ）治療主要以hydration，預防二度感染及傷口照護為主。
（Ｄ）常以發熱、喉嚨痛、肌肉痛為初期表徵。
（Ｅ）全身都可能出現皮膚紅疹，尤其以四肢最為常見。"	107	text	107_008	200	application/json		"{
""answerletter"": ""B"",
""reasoning"": ""Toxic epidermal necrolysis (TEN) and Stevens-Johnson syndrome (SJS) are two forms of a life-threatening skin condition, in which cell death causes the epidermis to separate from the dermis. The condition is usually caused by a reaction to medications. The key difference between TEN and SJS is the amount of body surface area that is affected. SJS is used when less than 10% of the body surface is affected and TEN is used when more than 30% is affected. Therefore, the statement B is incorrect because it states that when TEN affects more than 30% of the body surface area, it is called SJS, which is the opposite of the actual classification."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Negative"",
""confidence_polarity_likert"": 5,
""vignette"": ""Without Vignette"",
""confidence_vignette_likert"": 5
}"	B	"Toxic epidermal necrolysis (TEN) and Stevens-Johnson syndrome (SJS) are two forms of a life-threatening skin condition, in which cell death causes the epidermis to separate from the dermis. The condition is usually caused by a reaction to medications. The key difference between TEN and SJS is the amount of body surface area that is affected. SJS is used when less than 10% of the body surface is affected and TEN is used when more than 30% is affected. Therefore, the statement B is incorrect because it states that when TEN affects more than 30% of the body surface area, it is called SJS, which is the opposite of the actual classification."	5	Higher	5	Negative	5	Without Vignette	5	1														1	1	0	0	9	1	5	0	0	0	0	0	0	0	0
A	9	"根據我國疾病管制署對民眾的宣導，當出現下列症候時代表可能是腸病毒重症，除了哪一項？
（Ａ）哭鬧不休。
（Ｂ）心跳加快。
（Ｃ）持續嘔吐。
（Ｄ）嗜睡。
（Ｅ）肌躍型抽搐。"	107	text	107_009	200	application/json		"{
""answerletter"": ""B"",
""reasoning"": ""According to the Taiwan Centers for Disease Control, the symptoms of severe enterovirus infection include unending crying, persistent vomiting, drowsiness, and myoclonic jerking. An increased heart rate is not specifically listed as a symptom of severe enterovirus infection, although it could be a response to the body's stress or dehydration."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Negative"",
""confidence_polarity_likert"": 5,
""vignette"": ""Without Vignette"",
""confidence_vignette_likert"": 5
}"	B	"According to the Taiwan Centers for Disease Control, the symptoms of severe enterovirus infection include unending crying, persistent vomiting, drowsiness, and myoclonic jerking. An increased heart rate is not specifically listed as a symptom of severe enterovirus infection, although it could be a response to the body's stress or dehydration."	5	Higher	5	Negative	5	Without Vignette	5	0														1	1	0	0	9	0	5	0	0	0	0	0	0	0	0
A	10	"一位 60 歲男性病人被送至急診，他的意識似乎昏迷，神經檢查發現四肢對任何刺激都無任何動作，亦無法發出任何聲音，但你觀察到病人眼睛偶爾會自行張開閉合，他的病變位置最可能在？
（Ａ）橋腦（pons）。
（Ｂ）小腦（cerebellum）。
（Ｃ）下視丘（hypothalamus）。
（Ｄ）中腦（mid-brain）。
（Ｅ）延腦（medulla）。"	107	text	107_010	200	application/json		"{
""answerletter"": ""A"",
""reasoning"": ""The patient's symptoms suggest a condition known as locked-in syndrome, which is typically caused by a lesion in the pons. This part of the brain is responsible for motor control and sensory analysis. Damage to this area can result in paralysis and loss of speech, while consciousness and eye movements are preserved."",
""confidence_answer_likert"": 5,
""classification"": ""Higher"",
""confidence_classification_likert"": 5,
""polarity"": ""Positive"",
""confidence_polarity_likert"": 5,
""vignette"": ""With Vignette"",
""confidence_vignette_likert"": 5
}"	A	"The patient's symptoms suggest a condition known as locked-in syndrome, which is typically caused by a lesion in the pons. This part of the brain is responsible for motor control and sensory analysis. Damage to this area can result in paralysis and loss of speech, while consciousness and eye movements are preserved."	5	Higher	5	Positive	5	With Vignette	5	1														1	0	1	0	9	1	5	0	0	0	0	0	0	0	0
