原始題目	標準答案	GPT3_OE	TF_GPT3_OE	GPT3_step	TF_GPT3_step	GPT3_explain	human_GPT3_explain	TF_GPT3_explain	GPT3.5_OE	TF_GPT3.5_OE	GPT3.5_step	TF_GPT3.5_step	GPT3.5_explain	human_GPT3.5_explain	TF_GPT3.5_explain	GPT4_OE	TF_GPT4_OE	GPT4_step	TF_GPT4_step	GPT4_explain	human_GPT4_explain	TF_GPT4_explain	Bloom題型	Webb’s Depth-of- Knowledge Levels	mcq_single	mcq_ClinicalVignette	mcq_negative	BloomGPT4_Clean_Arr[0]	BloomGPT4_Clean_Arr[1]	WebbGPT4_Clean_Arr[0]	WebbGPT4_Clean_Arr[1]	BloomGPT3.5_Clean_Arr[0]	BloomGPT3.5_Clean_Arr[1]	WebbGPT3.5_Clean_Arr[0]	WebbGPT3.5_Clean_Arr[1]	BloomGPT3.5_Clean	BloomGPT4_Clean	WebbGPT3.5_Clean	WebbGPT4_Clean	test_subject
"倪女士，29 歲，程式工程師，輕躁症發作（hypomanic episode）。「我都有按照醫生的交代認真吃藥，為什麼還會發病？」護理師說：「你覺得很挫折，覺得自己很認真的吃藥卻還是發病」，此時護理師所運用的溝通技巧，下列何者最適當？
 A反映
 B鼓勵比較
 C面質
 D提出懷疑"	A		x	".

A反映"	o	"A反映：護理師對倪女士的情緒和感受進行反映，讓倪女士感受到被理解和被尊重。

B鼓勵比較：護理師鼓勵倪女士比較自己的情況，讓倪女士感受到自己的情況不是最糟的，也可以更好的接受自己的情況。

C面質：護理師以面質的方式，讓倪女士感受到自己的情況是可以被接受的，也可以更好的接受自己的情況。

D提出懷疑：護理師提出懷疑，讓倪女士思考自己的情況，也可以更好的接受自己的情況。"	?	x	B鼓勵比較，例如「你已經很認真地按照醫生的指示吃藥了，這比之前好很多了，你已經做得很好了。」這樣的話語可以讓倪女士感到被肯定，並且鼓勵她繼續努力。	x	C面質	x	C面質（reflection）是最適當的溝通技巧。透過面質，護理師可以讓倪女士感受到自己被理解和被聆聽，同時也可以幫助倪女士更深入地探索自己的情感和想法。反映（A）可能會讓倪女士感到被攻擊或被詰問，鼓勵比較（B）可能會讓倪女士感到被比較或被評價，提出懷疑（D）可能會讓倪女士感到被質疑或被懷疑。	C	x	A反映	o	A反映	o	"A反映：這個選項指的是護理師在對話中將倪女士的感受和想法回饋給她，僅僅將她剛才的陳述再行複述，讓她知道自己的觀點被理解。護理師使用的方式適當地反映了自己對患者感受的理解。在這個情境中，這是最適當的溝通技巧。

B鼓勵比較：這個選項代表要求倪女士將自己的經歷和他人或不同情境進行比較，可能使她對自己的情況有更多的理解和接受。但在這種情況下，這可能無法解決她的當下疑惑（發病問題），所以此選項不適當。

C面質：在這個選項中，護理師可能會直接質疑倪女士的觀點或經歷，這可能使患者感到被否定和挫敗。在此情況下，這種溝通技巧並不適當，因為可能會導致患者感到被貶低或不被理解。

D提出懷疑：這個選項意味著護理師對倪女士的經歷和看法表示存疑，而不是直接反駁。然而，在這個情境中，這種溝通技巧也不適當，因為它無法真正解決倪女士的問題和擔憂。

綜上所述，選項A反映是最適當的溝通技巧。護理師能夠以此方式表達對倪女士感受的理解，而不引起抵觸情緒。"	A	o	Understanding	Basic Application of Skill/Concept	1	1	0	3	Applying	2	Basic Application of Skill/Concept	2	Understanding	3	Strategic Thinking	2|Understanding	3|Applying	3|Strategic Thinking	2|Basic Application of Skill/Concept	精神社區
"精神復健機構的資深護理師協助病人接受「強制社區治療」的工作項目中，下列何者正確？?藥物治療 ?藥物之依賴性評估 ?藥物之血液檢驗 ?藥物之尿液濃度檢驗 ?酒精篩檢 ?放射性藥物檢驗
 A????
 B????
 C????
 D????"	C	A	x	A????	x	"A?藥物治療：藥物治療是指使用藥物來治療精神疾病的方法。
?藥物之依賴性評估：藥物依賴性評估是指評估病人對藥物的依賴程度，以確定是否需要減少或停止藥物治療。
?藥物之血液檢驗：藥物之血液檢驗是指檢查病人血液中藥物的濃度，以確定藥物的有效性和安全性。
?藥物之尿液濃度檢驗：藥物之尿液濃度檢驗是指檢查病人尿液中藥物的濃度，以確定藥物的有效性和安全性。
?酒精篩檢：酒精篩檢是指檢查病人血液中酒精的濃度，以確定病人是否有酒精濫用的問題。
?"	A	x	B????	x	D????	x	"A. ?藥物治療：精神復健機構的資深護理師需要協助病人接受藥物治療，以控制病情和促進康復。

?藥物之依賴性評估：資深護理師需要評估病人對藥物的依賴性，以避免藥物濫用和成癮。

?藥物之血液檢驗：資深護理師需要進行藥物血液檢驗，以確定藥物在病人體內的濃度和效果。

?藥物之尿液濃度檢驗：資深護理師需要進行藥物尿液濃度檢驗，以確定病人是否遵守藥物治療計劃。

?酒精篩檢：資深護理師需要進行酒精篩檢，以確定病人是否遵守戒酒計劃。

?放射性藥物檢驗：此項目與精神復健機構的資深護理師協助病人接受「強制社區治療」無關，因此不適用於此問題。"	A	x	A????	x	A????	x	"A精神复健机构的?深?理?在?制社?治?的工作?目中，可以?行以下工作：

??物治?：?深?理??助病人接受适?的?物治?，以?助他?控制症?、?整情?和功能，并??其用??程中可能出?的副作用。

??物之依?性?估：?理?需要?估患者??物的依?性??，以确保治?的安全性和有效性。通?了解病人的用???和病史，?理?可指?病人遵循正确的用?方法，?量降低依???。

??物之血液??：?是?量病人血液中?物?度的??方法。如果需要，?理?可以根据??的要求?助病人?行?物血??度的??，以??治?效果和防止副作用。

??物之尿液?度??：尿液??是一种??病人体??物和代?物?度的方法。?有助于?估?物治?的效果和安全性，避免?物不良反?或中毒。

因此，正確的選擇是A：????。

以下??不?于?深?理?在?制社?治?工作?目中的??：

?酒精篩檢：?然?物治?中可能?涉及到酒精篩檢，但?通常由??的??室或??机构完成，而非?深?理?的直接工作??。

?放射性?物檢驗：放射性?物??是??物放射性特性的??，主要用于研究?物?力?、??分布和排泄?程。?并非?深?理?在社??制治?中的日常工作。"	A	x	Remembering	Basic Application of Skill/Concept	2	0	0	1	Remembering	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	1|Remembering	2|Basic Application of Skill/Concept	2|Basic Application of Skill/Concept	精神社區
"身為專業的精神衛生護理人員，對精神科病人應有的認識，下列敘述何者正確？?病人怪異的想法和行為，都是有目的、有意義的，且為滿足某個需要或溝通某種訊息而呈現出來 ?精神病人的導因，並非來自單一的病因，而是基因、生活、心理、社會，相互影響的結果 ?精神病人多半缺乏自信，無安全感、挫折忍受度或抗壓性低 ?一旦診斷為重度精神疾患，就難以治癒，故不需太多關注於病人的病態思想、情緒和行為，只需維持病人的基本生理照護即可
 A??? 
 B??? 
 C??? 
 D???"	A	A???	o	".

A???"	o	"A?正確：病人怪異的想法和行為，都是有目的、有意義的，且為滿足某個需要或溝通某種訊息而呈現出來。
?正確：精神病人的導因，並非來自單一的病因，而是基因、生活、心理、社會，相互影響的結果。
?正確：精神病人多半缺乏自信，無安全感、挫折忍受度或抗壓性低。
?錯誤：一旦診斷為重度精神疾患，並不表示就難以治癒，故需要多關注於病人的病態思想、情緒和行為，並維持病人的基本生理照護。"	A	o	A???	o	B???	x	"正確答案為A???。

?病人怪異的想法和行為，並非有目的、有意義的，而是病理性的表現，需要透過治療和藥物幫助病人恢復正常。 

?精神病人的導因確實是來自多種因素的相互影響，包括基因、生活、心理、社會等。 

?精神病人確實常常缺乏自信、安全感、挫折忍受度或抗壓性低，這些都是需要護理人員關注和幫助的重要議題。 

?一旦診斷為重度精神疾患，雖然治癒可能較困難，但仍然需要持續的治療和護理，以維持病人的生理和心理健康。忽略病人的病態思想、情緒和行為，只維持基本生理照護是不夠的。"	A	o	A???	o	A???	o	"A: ?病人怪異的想法和行為，都是有目的、有意義的，且為滿足某個需要或溝通某種訊息而呈現出來；?精神病人的導因，並非來自單一的病因，而是基因、生活、心理、社會，相互影響的結果；?精神病人多半缺乏自信，無安全感、挫折忍受度或抗壓性低。這個選項表示，病人的怪異行為具有目的和意義，精神疾病的導因是多方面的，並且精神病患者往往缺乏自信。

B: ??? 這個選項表示，病人的怪異行為具有目的和意義，精神疾病的導因是多方面的，但對於重度精神疾患，認為只需維持病人的基本生理照護，對病態思想、情緒和行為無需關注。

C: ??? 這個選項表示，病人的怪異行為具有目的和意義，精神病患者往往缺乏自信，對於重度精神疾患患者，認為只需維持病人的基本生理照護，對病態思想、情緒和行為無需關注。

D: ??? 這個選項表示，精神病人的導因，並非來自單一的病因，而是基因、生活、心理、社會，相互影響的結果；精神病人多半缺乏自信，無安全感、挫折忍受度或抗壓性低；但對於重度精神疾患患者，認為只需維持病人的基本生理照護，對病態思想、情緒和行為無需關注。

正確答案是A，因為病人的怪異行為具有目的和意義，精神疾病的導因是多方面的，而精神病患者往往缺乏自信。對於精神科病人應該關注病態思想、情緒和行為，並不是只需維持基本生理照護。"	A	o	Analyzing	Basic Application of Skill/Concept	2	0	0	4	Analyzing	2	Basic Application of Skill/Concept	2	Understanding	B???		2|Understanding	4|Analyzing	B???	2|Basic Application of Skill/Concept	精神社區
"精神科醫師伯恩（Eric Berne）在溝通分析中，將人與人互動時彼此的人生地位分為四種型式。下列何者敘述屬於「我好－你不好型」？
 A覺得自己、他人，甚至全世界都毫無意義
 B相信自己與他人，能積極面對自己與他人
 C覺得自己沒有價值，常歸咎自己，認為人生不快樂
 D不相信別人、自大，易以憤怒的狀態去面對別人"	D		x	".

D不相信別人、自大，易以憤怒的狀態去面對別人"	o	"A這屬於「我壞－你好型」，因為此型式的人會覺得自己、他人，甚至全世界都毫無意義。

B這屬於「我好－你好型」，因為此型式的人相信自己與他人，能積極面對自己與他人。

C這屬於「我壞－你好型」，因為此型式的人覺得自己沒有價值，常歸咎自己，認為人生不快樂。

D這屬於「我好－你不好型」，因為此型式的人不相信別人、自大，易以憤怒的狀態去面對別人。"	D	o	D不相信別人、自大，易以憤怒的狀態去面對別人，屬於「我好－你不好型」。	o	C	x	"答案為C。

A選項屬於「我不好－你不好型」，表示個人對自己和他人都持悲觀、消極的態度。

B選項屬於「我好－你好型」，表示個人對自己和他人都持積極、正向的態度。

D選項屬於「我好－你不好型」，表示個人對自己持自大、自信的態度，但對他人持懷疑、敵對的態度。

而C選項屬於「我不好－你好型」，表示個人對自己持悲觀、自卑的態度，但對他人持肯定、欣賞的態度。"	C	x	D不相信別人、自大，易以憤怒的狀態去面對別人	o	D不相信別人、自大，易以憤怒的狀態去面對別人	o	"A: 覺得自己、他人，甚至全世界都毫無意義 - 這是一種悲觀的人生觀，可能代表著「我不好－你也不好型」的溝通模式。在這種模式中，個體可能感到絕望，並對所有事物持貶低和消極的態度。

B: 相信自己與他人，能積極面對自己與他人 - 這是一種積極的人生觀，代表「我好－你也好型」的溝通模式。在這種模式中，個體尊重自己和他人，並且樂觀地面對生活的挑戰。

C: 覺得自己沒有價值，常歸咎自己，認為人生不快樂 - 這是一種自我否定的心態，可能代表「我不好－你好型」的溝通模式。在這種模式中，個體可能會對自己持有過低的評價，並對他人充滿敬意和過度依賴。

D: 不相信別人、自大，易以憤怒的狀態去面對別人 - 這正是屬於「我好－你不好型」的描述。在這種模式中，個體對自己有過高的評價，並且對他人持有懷疑、輕視或敵對的態度。他們可能會以攻擊性的方式與他人互動，容易發生衝突和不和。

因此，D選項正確地描述了「我好－你不好型」的人生地位。"	D	o	Remembering	Recall	1	0	0	1	Remembering	1	Recall	2	Understanding	3	Strategic Thinking	2|Understanding	1|Remembering	3|Strategic Thinking	1|Recall	精神社區
"俗稱安公子的安非他命，其戒斷症狀最可能為下列何者？
 A精力旺盛
 B全身耗竭虛脫、憂鬱沮喪
 C肌肉僵直
 D注意力集中"	B	困難	x	B全身耗竭虛脫、憂鬱沮喪	o	"A精力旺盛：安非他命會使人感到精力充沛，可以持續長時間的工作或活動。

B全身耗竭虛脫、憂鬱沮喪：戒斷安非他命後，會出現全身耗竭虛脫、憂鬱沮喪的症狀。

C肌肉僵直：戒斷安非他命後，會出現肌肉僵直的症狀，尤其是肌肉痙攣和抽搐。

D注意力集中：安非他命會使人注意力集中，可以更加專注於任務。"	BC	o	B全身耗竭虛脫、憂鬱沮喪。	o	B	o	"A. 精力旺盛：安非他命是一種中樞神經系統刺激劑，可以增加人體的能量和警覺性，因此在使用期間可能會感到精力旺盛。

B. 全身耗竭虛脫、憂鬱沮喪：當安非他命使用過度或停止使用時，可能會出現嚴重的戒斷症狀，包括全身耗竭虛脫、憂鬱沮喪等情況。

C. 肌肉僵直：安非他命使用過度或停止使用時，可能會導致肌肉僵直，這是因為安非他命會影響神經傳導，導致肌肉緊張。

D. 注意力集中：安非他命是一種中樞神經系統刺激劑，可以增加人體的警覺性和注意力，因此在使用期間可能會感到注意力集中。"	B	o	B全身耗竭虛脫、憂鬱沮喪	o	B全身耗竭虛脫、憂鬱沮喪	o	"A精力旺盛 - This option refers to having an increased amount of energy, which is not likely to be a withdrawal symptom from amphetamines (like the drug commonly called ""安公子"" or ""Anfei""). In fact, amphetamine use is known to increase energy levels, so when a person stops using it, this effect may be reversed.

B全身耗竭虛脫、憂鬱沮喪 - This option refers to feeling physically exhausted, weak, and experiencing depression. These are common symptoms of amphetamine withdrawal, as the body and mind are readjusting to the absence of the drug.

C肌肉僵直 - This option refers to muscle stiffness or rigidity, which may not be directly related to amphetamine withdrawal symptoms. Muscle pain and tension can occur during withdrawal, but severe muscle stiffness is not typically associated with amphetamine use cessation.

D注意力集中 - This option refers to increased focus and attention. Like increased energy levels, this effect can be a result of amphetamine use, as the drug stimulates the central nervous system. However, when an individual stops using the drug, the opposite effect may occur, which may lead to a lack of focus and attention as part of withdrawal symptoms.

Based on the explanations above, the most likely withdrawal symptom from the drug commonly called ""安公子"" or ""Anfei"" (amphetamine) is Option B: 全身耗竭虛脫、憂鬱沮喪 (physical exhaustion, weakness, and depression)."	B	o	Remembering	Basic Application of Skill/Concept	1	0	0	2	Understanding	1	Recall	2	Understanding	1	Recall	2|Understanding	2|Understanding	1|Recall	1|Recall	精神社區
"有關抗精神病藥物的副作用，下列敘述何者最適當？
 A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全
 B靜坐不能副作用主要發生在服用抗精神病藥物達兩年以上的病人
 C服用第一代抗精神病藥物較第二代抗精神病藥物容易發生代謝症候群
 D若發生類巴金森氏症的錐體外徑症候群副作用，應立即停藥觀察"	A		x	A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全	o	"A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全: 這是正確的，因為抗精神病藥物可能會導致血壓下降，因此病人應該緩慢地改變姿勢，並注意安全。

B靜坐不能副作用主要發生在服用抗精神病藥物達兩年以上的病人: 這是不正確的，因為抗精神病藥物的副作用可能會在任何時間發生，而不僅僅是服用抗精神病藥物兩年以上的病人。

C服用第一代抗精神病藥物較第二代抗精神病藥物容易發生代謝症候群: 這是正確的，因為第一代抗精神病藥物比第二代抗精神病藥物更容易導致代謝症候群。

D若發生類巴"	AB	x	A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全。	o	A	o	"A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全：抗精神病藥物可能會導致血壓下降，因此病人在服用藥物期間，從臥姿改為立姿動作時應該緩慢進行，以避免因血壓下降而導致意外發生。

B靜坐不能副作用主要發生在服用抗精神病藥物達兩年以上的病人：這個敘述是錯誤的。抗精神病藥物的副作用不會因為服用時間的長短而有所不同，而是因為藥物本身的成分和作用機制而有所差異。

C服用第一代抗精神病藥物較第二代抗精神病藥物容易發生代謝症候群：這個敘述是正確的。第一代抗精神病藥物的副作用包括代謝症候群、錐體外徑症候群等，而第二代抗精神病藥物的副作用相對較少。

D若發生類巴金森氏症的錐體外徑症候群副作用，應立即停藥觀察：這個敘述是正確的。錐體外徑症候群是抗精神病藥物的常見副作用之一，如果病人出現類似巴金森氏症的症狀，如顫抖、僵硬等，應立即停藥觀察，並告知醫師。"	ACD	o	A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全	o	A可能引起血壓下降，病人臥姿改為立姿動作應緩慢及注意安全	o	"A: 正確。抗精神病藥物可能引起血壓下降，病人在改變姿勢時應緩慢並注意安全，以防因血壓下降而導致暈倒或跌倒。

B: 錯誤。靜坐不能副作用 (akathisia) 是抗精神病藥物的一個常見副作用，通常在開始治療的幾周內就可能出現，而不限於使用兩年以上的病人。

C: 錯誤。服用第二代抗精神病藥物 (非典型抗精神病藥物) 較第一代抗精神病藥物 (典型抗精神病藥物) 容易發生代謝症候群，包括體重增加、高血糖、高血脂等。

D: 錯誤。若出現類巴金森氏症 (Parkinsonism) 的錐體外徑症候群副作用，應在醫生指導下調整藥物劑量或添加對症治療藥物。並不建議立即停藥，因為突然停藥可能加重病情或引起其他副作用。"	A	o	Analyzing	Basic Application of Skill/Concept	1	0	0	4	Analyzing	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	4|Analyzing	2|Basic Application of Skill/Concept	2|Basic Application of Skill/Concept	精神社區
"有關Benzodiazepine(BZD)類藥物，下列注意事項敘述何者最適當？
 A為海洛因成癮替代療法之主要用藥
 B可減緩病人因酒精戒斷產生的不適
 C短效型藥物的半衰期為12 小時以上才能達助眠效果
 D長期使用BZD 不會發生耐受性、成癮性和戒斷症狀"	B		x	.	x	"A: 海洛因成癮替代療法是指使用藥物來替代海洛因，以減少或消除海洛因的戒斷症狀。

B: 酒精戒斷會導致病人出現不適，而BZD可以減緩這些不適的症狀。

C: 短效型BZD的半衰期較長，大約12小時以上才能達到助眠的效果。

D: 長期使用BZD可能會導致耐受性、成癮性和戒斷症狀，因此應該適當地使用BZD，並在醫生的指導下使用。"	?	x	B可減緩病人因酒精戒斷產生的不適。	o	B可減緩病人因酒精戒斷產生的不適。	o	B為最適當的敘述。BZD類藥物可用於減緩病人因酒精戒斷產生的不適，如焦慮、抽搐、失眠等症狀。A錯誤，BZD不是海洛因成癮替代療法之主要用藥。C錯誤，短效型BZD藥物的半衰期通常在6-12小時之間，而非12小時以上。D錯誤，長期使用BZD會產生耐受性、成癮性和戒斷症狀，因此應盡量避免長期使用。	B	o	B可減緩病人因酒精戒斷產生的不適	o	B可減緩病人因酒精戒斷產生的不適	o	"A為海洛因成癮替代療法之主要用藥 - 不正確。海洛因成癮的替代療法主要用的是像美沙酮（methadone）等類的藥物，而非BZD類藥物。

B可減緩病人因酒精戒斷產生的不適 - 正確。BZD類藥物通常可以用於減緩酒精戒斷症狀，如焦慮、失眠、震顫等。

C短效型藥物的半衰期為12 小時以上才能達助眠效果 - 不正確。一般而言，短效型BZD的藥物半衰期較短，約在1-12小時之間，可以較快速達到助眠效果。

D長期使用BZD 不會發生耐受性、成癮性和戒斷症狀 - 不正確。長期使用BZD藥物可能導致耐受性、成癮性和戒斷症狀，這是需要密切關注的一個問題。

因此，選項B（可減緩病人因酒精戒斷產生的不適）最適當。"	B	o	Remembering	Basic Application of Skill/Concept	1	0	0	4	Analyzing	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	4|Analyzing	2|Basic Application of Skill/Concept	2|Basic Application of Skill/Concept	精神社區
"羅小姐，30 歲，診斷為雙相情緒障礙症，居家護理師至其家中訪視，發現可能是躁症發作。下列何者為其最可能出現的症狀？
 A淡漠、病識感差、思考貧乏
 B焦慮、身體症狀、睡眠中斷
 C高昂、活動量大、判斷力差
 D社交隔離、妄想、音韻連結"	C		x	C高昂、活動量大、判斷力差	o	"A淡漠：指患者對於周遭環境的興趣減少，表現出漠不關心的態度。

B焦慮：指患者對於未來的恐懼，以及對於自己的能力的擔憂。

C高昂：指患者表現出高度的興奮，以及活動量大的特徵。

D社交隔離：指患者對於社交活動的抗拒，以及對於他人的避開。

妄想：指患者對於自己的想法，以及對於他人的想法的錯誤理解。

音韻連結：指患者對於聲音的聯想，以及對於詞語的聯想。"	?	x	C高昂、活動量大、判斷力差	o	C高昂、活動量大、判斷力差	o	C高昂、活動量大、判斷力差。這些是躁症發作的典型症狀，包括情緒高漲、精力充沛、活動量增加、冒險行為增加、判斷力下降等。A選項描述的是抑鬱症狀，B選項描述的是焦慮症狀，D選項描述的是精神分裂症狀，這些都不是躁症發作的典型症狀。	C	o	C高昂、活動量大、判斷力差	o	C高昂、活動量大、判斷力差	o	"A: 緩慢、病識感差、思考貧乏 - 這些症狀更有可能是抑鬱情緒障礙症的症狀。抑鬱期的患者可能會表現出興趣喪失、疲勞、對事物反應遲鈍、自我批評和沮喪的情緒。

B: 焦慮、身體症狀、睡眠中斷 - 這些症狀可能是焦慮症的症狀。患者可能會表現出持續的、難以控制的擔憂感、以及物理上的問題，如心悸、肌肉緊繃和失眠。

C: 高昂、活動量大、判斷力差 - 這些是躁症發作時最可能出現的症狀。躁症患者可能會表現出過度興奮、激動、多話、想法多變、容易分心、判斷力差以及冒險行為。這些症狀是雙相情感障礙躁燥狀態的表現。

D: 社交隔離、妄想、音韻連結 - 這些症狀可能與精神分裂症或思覺失調症有關。這些患者可能經歷認知、情感和行為的混亂，包括思維錯亂、幻覺、妄想、自閉、突變的反應以及語言和行為的失常。

根據上述解釋，答案是C: 高昂、活動量大、判斷力差。"	C	o	Analyzing	Basic Application of Skill/Concept	1	1	0	3	Applying	2	Basic Application of Skill/Concept	1	Remembering	3	Strategic Thinking	1|Remembering	3|Applying	3|Strategic Thinking	2|Basic Application of Skill/Concept	精神社區
"有關病人服用精神科相關藥物的反應及處置，下列何者最適當？
 A病人開始服用Venlafaxine（Efexor?）若抱怨有噁心感（nausea），應建議立即停藥或換藥
 B觀察到剛服用Mirtazapine（Remeron?）的病人有鎮靜（sedation）表現，應建議立即停藥或換藥
 C服用選擇性血清素再吸收抑制劑（Selective Serotonin Reuptake Inhibitor, SSRI）的病人，可衛教其自我限制熱量攝取，因為其體重隨時會增加
 D觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥"	D	D觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥	o	D觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥	o	"A: 如果病人服用Venlafaxine（Efexor?）出現噁心感，應建議立即停藥或換藥，以防止病情惡化。

B: 如果病人服用Mirtazapine（Remeron?）出現鎮靜表現，應建議立即停藥或換藥，以防止病情惡化。

C: 選擇性血清素再吸收抑制劑（Selective Serotonin Reuptake Inhibitor, SSRI）會導致體重增加，因此應建議病人自我限制熱量攝取，以防止體重增加。

D: 如果病人服用Haloperidol（Haldol?）出現遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥，以防止病情惡化。"	?	x	D觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥。	o	D	o	"A. 病人開始服用Venlafaxine（Efexor?）若抱怨有噁心感（nausea），應建議立即停藥或換藥：這個說法不太適當。噁心感是Venlafaxine的常見副作用之一，但通常是暫時的，且不會對病人造成嚴重的健康問題。建議病人繼續服藥，並在噁心感緩解後再與醫師討論是否需要調整藥物劑量或換藥。

B. 觀察到剛服用Mirtazapine（Remeron?）的病人有鎮靜（sedation）表現，應建議立即停藥或換藥：這個說法也不太適當。Mirtazapine的鎮靜作用是其治療效果的一部分，且通常在病人服用藥物一段時間後會逐漸減輕。建議病人繼續服藥，並在需要時與醫師討論是否需要調整藥物劑量或換藥。

C. 服用選擇性血清素再吸收抑制劑（Selective Serotonin Reuptake Inhibitor, SSRI）的病人，可衛教其自我限制熱量攝取，因為其體重隨時會增加：這個說法也不太適當。雖然SSRI可能會導致體重增加，但這種增加通常是輕微的，且不是所有病人都會發生。建議病人繼續服藥，並在需要時與醫師討論如何控制體重。

D. 觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥：這個說法是適當的。遲發性不自主運動是Haloperidol的嚴重副作用之一，如果病人出現這種症狀，應立即停藥或換藥，並與醫師討論其他治療選擇。"	D	o	D觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥	o	D觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥	o	"A. 病人開始服用Venlafaxine（Efexor?）若抱怨有噁心感（nausea），應建議立即停藥或換藥

此選項不正確。因為剛開始使用Venlafaxine的病人很可能會暫時出現噁心感，但這個副作用通常會在持續服用藥物後逐漸減輕或消失。因此，並不需要立即停藥或換藥。

B. 觀察到剛服用Mirtazapine（Remeron?）的病人有鎮靜（sedation）表現，應建議立即停藥或換藥

此選項不正確。Mirtazapine有可能會引起鎮靜副作用，但這個副作用通常會隨著持續服用而減少。建議病人在晚上服用藥物，以減少鎮靜效果對日常生活的影響。並不需要立即停藥或換藥。

C. 服用選擇性血清素再吸收抑制劑（Selective Serotonin Reuptake Inhibitor, SSRI）的病人，可衛教其自我限制熱量攝取，因為其體重隨時會增加

此選項正確。血清素再吸收抑制劑可能導致病人體重的增加，因此教育病人有關合適的飲食習慣和適量運動的重要性，有助於控制體重。

D. 觀察到服用Haloperidol（Haldol?）的病人有遲發性不自主運動（tardive dyskinesia）的表現，應建議立即停藥或換藥

此選項正確。遲發性不自主運動是長期使用抗精神病藥物（如Haloperidol）的一個可能的嚴重副作用，需立即通知醫生，可能需要停藥或換用其他藥物以避免症狀惡化。
"	CD	x	Analyzing	Strategic Thinking	1	0	0	4	Analyzing	2	Basic Application of Skill/Concept	4	Analyzing	2	Basic Application of Skill/Concept	4|Analyzing	4|Analyzing	2|Basic Application of Skill/Concept	2|Basic Application of Skill/Concept	精神社區
"有關思覺失調症病因的敘述，下列何者最適當？
 A發生率為5%左右
 B好發年齡是中老年期
 C發病與神經心理因素無關
 D男女發生率相當"	D		x	".

A發生率為5%左右"	x	"A: 發生率為5%左右：思覺失調症的發生率約為5％。

B: 好發年齡是中老年期：思覺失調症的好發年齡約為中老年期。

C: 發病與神經心理因素無關：思覺失調症的發病與神經心理因素無關。

D: 男女發生率相當：思覺失調症的男女發生率相當。"	?	x	沒有選項是最適當的，因為思覺失調症的病因仍然不明確，目前認為可能是多種因素的交互作用所致，包括基因、神經化學、神經發育、環境等。因此，A、B、C、D都不是最適當的敘述。	x	B	x	"A. 發生率為5%左右：這個敘述不太準確，因為思覺失調症的發生率會因地區、族群、研究方法等因素而有所不同，一般估計在1%左右。

B. 好發年齡是中老年期：這個敘述不正確，因為思覺失調症通常在青少年或早期成年期發病，而不是中老年期。

C. 發病與神經心理因素無關：這個敘述不正確，因為思覺失調症的病因很複雜，包括遺傳、神經生化、心理社會等多種因素，其中神經心理因素也是重要的一環。

D. 男女發生率相當：這個敘述比較準確，因為思覺失調症在男女之間的發生率差異不大，大約是1:1。"	D	o	D男女發生率相當	o	D男女發生率相當	o	"A發生率為5%左右 - 不正確。思覺失調症的發生率約為1%左右。這意味著在大約每100人中，就有1位可能患有此病。
 
B好發年齡是中老年期 - 不正確。思覺失調症通常在青少年時期或成年早期開始出現。男性的好發年齡是18-25歲，而女性則是25-35歲。中老年期患者較不常見。

C發病與神經心理因素無關 - 不正確。思覺失調症的發病與多種因素有關，包括基因、大腦結構變化、神經生化因素以及環境和心理因素。心理應濟和心理壓力也可能影響病程。

D男女發生率相當 - 正確。大多數研究顯示，思覺失調症在男性和女性間的患病率相當。然而，男性通常在年輕時期出現症狀，而女性則在稍晚的年齡出現，這可能是壓力和荷爾蒙等在不同性別間的作用差異。"	D	o	Analyzing	Basic Application of Skill/Concept	1	0	0	4	Analyzing	2	Basic Application of Skill/Concept	2	Understanding	1	Recall	2|Understanding	4|Analyzing	1|Recall	2|Basic Application of Skill/Concept	精神社區
